id,domain,target_url,channel,priority,status,angle,next_action
1,personalcareinsights.com,https://www.personalcareinsights.com/,beauty-trade,P1,pitch-now,cite privacy index in AI beauty risk coverage,pitch editor with MAC lawsuit context
2,beautymatter.com,https://beautymatter.com/,beauty-trade,P1,pitch-now,beauty AI transparency data source,pitch research desk
3,beautyindependent.com,https://www.beautyindependent.com/,beauty-trade,P1,pitch-now,indie beauty AI compliance angle,pitch editorial tips
4,cosmeticsdesign.com,https://www.cosmeticsdesign.com/,beauty-trade,P1,pitch-now,virtual try-on privacy benchmark,pitch news editor
5,globalcosmeticsnews.com,https://www.globalcosmeticsnews.com/,beauty-trade,P1,pitch-now,biometric privacy and cosmetics AI source,pitch newsroom
6,gcimagazine.com,https://www.gcimagazine.com/,beauty-trade,P1,pitch-now,beauty tech transparency table,pitch digital editor
7,beautypackaging.com,https://www.beautypackaging.com/,beauty-trade,P2,warm-queue,AI beauty tool disclosure data,pitch tech feature editor
8,happi.com,https://www.happi.com/,beauty-trade,P2,warm-queue,personal care AI data handling source,pitch editor
9,premiumbeautynews.com,https://www.premiumbeautynews.com/,beauty-trade,P2,warm-queue,global beauty tech privacy reference,pitch English editor
10,retaildive.com,https://www.retaildive.com/,retail-media,P1,pitch-now,retail virtual try-on data risk,pitch retail tech reporter
11,glossy.co,https://www.glossy.co/,retail-media,P1,pitch-now,beauty retail AI trust angle,pitch beauty business reporter
12,modernretail.co,https://www.modernretail.co/,retail-media,P2,warm-queue,retail AI privacy dataset,pitch commerce reporter
13,retailtouchpoints.com,https://www.retailtouchpoints.com/,retail-media,P2,warm-queue,virtual try-on buyer checklist,pitch customer experience editor
14,pymnts.com,https://www.pymnts.com/,retail-media,P2,warm-queue,consumer data and commerce AI,pitch connected economy editor
15,theindustry.beauty,https://theindustry.beauty/,beauty-trade,P2,warm-queue,beauty tech risk explainer,pitch newsroom
16,fashionnetwork.com,https://www.fashionnetwork.com/,fashion-business,P2,warm-queue,AI try-on transparency in beauty retail,pitch beauty technology topic
17,voguebusiness.com,https://www.voguebusiness.com/,fashion-business,P2,warm-queue,beauty AI trust and data handling,pitch technology desk
18,businessoffashion.com,https://www.businessoffashion.com/,fashion-business,P2,warm-queue,beauty technology privacy benchmark,pitch insights team
19,wwd.com,https://wwd.com/,fashion-business,P2,warm-queue,cosmetics AI disclosure data,pitch beauty business reporter
20,cosmeticsbusiness.com,https://cosmeticsbusiness.com/,beauty-trade,P1,pitch-now,virtual try-on privacy comparison,pitch digital editor
21,retailboss.co,https://retailboss.co/,retail-media,P2,warm-queue,beauty AI lawsuit follow-up source,pitch retail tech topic
