service,vendor,category,score_of_5,photo_face_data,retention,deletion,ai_training_or_improvement,third_parties,notable_retention,primary_source,secondary_source,reviewed_at,notes
"AI Beauty Stylist","AI Beauty Stylist","AI makeup try-on",5,"Disclosed","Disclosed","Disclosed","Disclosed","Disclosed","One-time original photos are deleted as soon as operationally practical and no later than 30 days.","https://aibeautystylist.com/privacy","","2026-07-09","Policy says selfies are processed only for requested diagnosis or try-on and are not used for identity recognition, medical decisions, or model training without separate authorization."
"Banuba Face AR SDK and Virtual Try-On Plugin","Banuba","SDK and merchant plugin",5,"Disclosed","Disclosed","Not applicable","Disclosed","Disclosed","Banuba states that face AR products process camera frames on device and do not send user images or video frames to Banuba servers.","https://www.banuba.com/faq/what-user-data-is-transmitted-to-banuba-servers-1","https://www.banuba.com/privacy-policy","2026-07-09","Developer implementation can still add its own data handling, so this score applies to Banuba's public SDK and plugin claims."
"ModiFace Virtual Try-On","L'Oreal ModiFace","Enterprise virtual try-on",5,"Disclosed","Disclosed","Disclosed","Disclosed","Disclosed","The policy says virtual try-on images are processed on device, while skin-analysis images are usually deleted within 5 minutes and no longer than 24 hours.","https://modiface.com/legal/privacy.htm","","2026-07-09","The policy separates virtual try-on from skin analysis and discloses AI technology improvement use elsewhere in the notice."
"Fotor AI Makeup and AI Avatar features","Fotor","AI photo editor",5,"Disclosed","Disclosed","Disclosed","Disclosed","Disclosed","Face data for avatar generation is described as temporary and deleted after generation. AIGC inputs and outputs can remain until user deletion or account deletion.","https://www.fotor.com/privacypolicy","","2026-07-09","Fotor discloses third-party AI providers and states specific limits for face-data use in avatar workflows."
"YouCam Makeup and YouCam Apps","Perfect Corp","Consumer and web makeup app",5,"Disclosed","Disclosed","Disclosed","Disclosed","Disclosed","Cloud virtual try-on photos are described as deleted after the service completes; some save-and-share or generative AI features have longer disclosed windows.","https://www.perfectcorp.com/youcamapps/youcam/privacy-policy.html","https://www.makeupar.com/business/privacy","2026-07-09","The policy has detailed tables for photo uploads, biometric information, sharing, and feature-specific retention."
"CyberLink PhotoDirector and Generative AI features","CyberLink","AI photo editor",5,"Disclosed","Disclosed","Disclosed","Disclosed","Disclosed","Generative AI submissions are described as deleted within 24 hours after use, while some outputs can be retained for longer feature-specific periods.","https://www.cyberlink.com/stat/policy/enu/tos.html","https://www.cyberlink.com/stat/policy/enu/app/privacy.html","2026-07-09","CyberLink also describes local-only biometric handling for certain PhotoDirector desktop features."
"AirBrush","Pixocial","AI beauty photo editor",5,"Disclosed","Disclosed","Disclosed","Disclosed","Disclosed","Image data is described as stored in server log files for a maximum of 21 days; face-recognition data is discarded after recommendation or app close.","https://airbrush.com/legal/privacy-policy","","2026-07-09","The policy discloses cloud editing, metadata, facial-feature processing, retention periods, and third-party providers."
"BeautyPlus","Pixocial","AI beauty photo editor",5,"Disclosed","Disclosed","Disclosed","Disclosed","Disclosed","The policy follows a similar Pixocial retention model, including a maximum 21-day window for image data in server logs.","https://www.beautyplus.com/privacy-policy","","2026-07-09","Included because BeautyPlus is a distinct consumer app brand with a public policy relevant to face and beauty editing."
"MakeupPlus","Meitu","Virtual makeup and selfie app",5,"Disclosed","Disclosed","Disclosed","Disclosed","Disclosed","Image data is described as stored in server log files for a maximum of 21 days; face-recognition data is discarded after recommendation or app close.","https://pro.meitu.com/makeup/agreements/privacy-policy/index.html?lang=en","","2026-07-09","The policy discloses image and facial-feature handling, retention, third-party SDKs, and internal research or improvement purposes."
"GlamAR","GlamAR","Enterprise virtual try-on",4,"Disclosed","Disclosed","Disclosed","Not stated","Disclosed","Facial data is described as retained for a maximum of 3 years unless deleted earlier by request or legal requirement.","https://www.glamar.io/privacy-policy","","2026-07-09","The policy clearly discloses facial data and third-party processing, but public wording reviewed for this index did not clearly answer AI training or model-improvement use."
