id,domain,priority,fit,opportunity_url,contact_or_pitch_url,contact_hint,pitch_type,specific_angle,recommended_anchor,first_step,status,notes
1,personalcareinsights.com,P1,very-high,https://www.personalcareinsights.com/news/mac-ai-privacy-lawsuit.html,https://www.personalcareinsights.com/aboutus.html,contact form on about page,article-update,"Their June 23 2026 MAC AI privacy lawsuit article already discusses biometric consent and disclosure risk. Offer the index as a small disclosure dataset to cite in the data privacy section.",Virtual Makeup Privacy Index 2026,"Pitch Ela Jade Unal or editorial contact with MAC article context.",ready,"Strongest first send because topical match is exact and recent."
2,globalcosmeticsnews.com,P1,very-high,https://www.globalcosmeticsnews.com/mac-cosmetics-faces-biometric-privacy-lawsuit-over-virtual-try-on-technology/,https://www.globalcosmeticsnews.com/,newsroom or author route,article-update,"Their MAC virtual try-on biometric privacy lawsuit article has a clear gap for a disclosure benchmark across beauty AI tools.",virtual makeup privacy disclosures,"Pitch as a concise source for a follow-up or update on transparency and consent.",ready,"Contact path needs manual confirmation because common contact URL returned 404."
3,cosmeticsbusiness.com,P1,very-high,https://cosmeticsbusiness.com/mac-cosmetics-faces-data-privacy-lawsuit,https://cosmeticsbusiness.com/,editorial route via masthead or Muck Rack,article-update,"Their MAC data privacy lawsuit coverage can use the index as a comparison table for photo retention and face-data disclosures.",Virtual Makeup Privacy Index 2026,"Find Jo Allen or current digital editor contact before sending.",needs-author-lookup,"High topic fit but direct contact URL was not verified."
4,beautymatter.com,P1,high,https://beautymatter.com/articles/william-reed-shutters-cosmeticsdesign,https://beautymatter.com/about,pitch@beautymatter.com,story-pitch,"BeautyMatter covers beauty business and accepts relevant tips. Pitch the index as a data brief on AI beauty transparency after the CosmeticsDesign closure left fewer trade outlets covering this niche.",AI beauty privacy index,"Send concise pitch to pitch@beautymatter.com with one link only.",ready,"BeautyMatter about page lists pitch@beautymatter.com."
5,beautyindependent.com,P1,high,https://www.beautyindependent.com/,https://www.beautyindependent.com/contact-us/,contact form may block automated access,story-pitch,"Frame as an indie beauty operator risk angle: small brands adopting third-party virtual try-on tools need clearer disclosure checks.",AI beauty disclosure benchmark,"Use contact form or journalist route.",manual-review,"Site blocked automated verification with 403."
6,gcimagazine.com,P1,high,https://www.gcimagazine.com/page/editorial-submission,https://www.gcimagazine.com/page/engage-with-editorial,jallured@allured.com,editorial-submission,"GCI accepts article ideas and press releases. Pitch as an industry data note on beauty technology transparency, not as a product pitch.",virtual try-on privacy disclosures,"Submit through editorial form or email Jeb Gleason-Allured.",ready,"Official editorial page lists submission route and editor email."
7,retaildive.com,P1,high,https://www.retaildive.com/news/virtual-try-on-offers-more-sales-perfect-corp/723798/,https://www.retaildive.com/contact/,contact form,article-update,"Their virtual try-on retail article focuses on sales lift. Offer privacy-disclosure data as a trust and implementation risk sidebar.",virtual try-on privacy index,"Pitch the retail tech reporter with the existing Perfect Corp article.",ready,"Contact page verified 200."
8,glossy.co,P1,high,https://www.glossy.co/beauty/sephora-is-bringing-prestige-beauty-shopping-into-googles-ai-ecosystem/,https://www.glossy.co/about/,masthead on about page,article-update,"Glossy has current AI beauty commerce coverage. Pitch a privacy and disclosure follow-up for Sephora, Clarins, and virtual try-on tools.",AI beauty app privacy data,"Route through masthead or relevant beauty business reporter.",ready,"About page lists masthead; direct contact page returned 404."
9,allure.com,P1,medium-high,https://www.allure.com/,https://www.allure.com/,Condé Nast masthead or beauty tech editor,article-update,"Consumer beauty readers need a plain-language privacy checklist for AI makeup and virtual try-on apps.",AI beauty privacy checklist,"Find current beauty tech or digital editor and pitch as a consumer-service update.",needs-author-lookup,"Large consumer outlet. Use only after report page redesign is live."
10,byrdie.com,P1,medium-high,https://www.byrdie.com/,https://www.byrdie.com/contact-us-4773503,contact form or commerce update route,article-update,"Byrdie commerce and beauty guides can add a privacy lens to virtual makeup app or AI beauty tool coverage.",virtual makeup privacy index,"Pitch commerce updates with a short privacy checklist angle.",manual-review,"Contact URL returned 402 during automated check, likely accessible in browser."
