lang,category,keyword,searchVolume,kd,cpc,competition,competitionIndex,demandStatus
de,style,Braut Make-up,4400,,1.23,LOW,18,confirmed-demand
de,demographic,Make-up für reife Haut,1600,0,1.06,HIGH,100,confirmed-demand
de,style,natürliches Make-up,1300,,1.83,HIGH,99,confirmed-demand
de,style,Glow Make-up,1000,,0.96,HIGH,100,confirmed-demand
de,style,Abend-Make-up,880,,1.03,LOW,9,confirmed-demand
de,style,Nude Make-up,720,,1.23,HIGH,88,confirmed-demand
de,demographic,welche Farbe steht mir,590,0,0.73,MEDIUM,35,confirmed-demand
de,tutorial,Make-up für Anfänger,480,0,0.8,HIGH,97,confirmed-demand
de,ai_tech,welches Make-up passt zu mir,480,13,1.62,HIGH,80,confirmed-demand
de,product,Make-up für empfindliche Haut,320,0,1.26,HIGH,100,confirmed-demand
de,tutorial,Grundausstattung Make-up,170,0,0.63,MEDIUM,40,confirmed-demand
de,ai_tech,Unterton Haut bestimmen,170,0,1.23,MEDIUM,53,confirmed-demand
de,style,dezent schminken,140,0,0.52,MEDIUM,64,confirmed-demand
de,style,Alltags-Make-up,110,,0.98,HIGH,83,confirmed-demand
de,ai_tech,Hautanalyse KI,110,2,2.24,HIGH,79,confirmed-demand
de,style,elegantes Make-up,70,,0.62,LOW,10,confirmed-demand
de,scenario,Bewerbungsfoto Make-up,70,,,LOW,4,confirmed-demand
de,scenario,festliches Make-up,70,,,MEDIUM,62,confirmed-demand
de,demographic,Make-up für runde Gesichter,70,,1.1,MEDIUM,36,confirmed-demand
de,demographic,Make-up für helle Haut,70,,0.82,HIGH,100,confirmed-demand
de,scenario,Foto-Make-up,50,,,LOW,8,confirmed-demand
de,product,günstige Make-up Pinsel,50,,0.39,HIGH,100,confirmed-demand
de,product,Kajal vs. Eyeliner,50,,0.5,LOW,4,confirmed-demand
de,style,frischer Teint,40,,0.51,HIGH,91,confirmed-demand
de,tutorial,günstige Make-up Produkte,40,,0.89,HIGH,100,confirmed-demand
de,demographic,Make-up für schlupflider,30,,0.57,MEDIUM,55,confirmed-demand
de,ai_tech,Make-up Simulator,30,,1.65,MEDIUM,50,confirmed-demand
