priority,board,format,title,destination,utm_content,creative_hook,status
1,AI Makeup Try-On Ideas,Before/after,AI Makeup Try-On: Preview It on Your Face,https://aibeautystylist.com/tryon,ai_makeup_tryon_01,Try makeup on your own face,published
2,Everyday & 5-Minute Makeup,Checklist,5-Minute Makeup That Still Looks Intentional,https://aibeautystylist.com/scenarios/quick-5min,pin_5min_01,Keep the steps that create visible impact,published
3,Soft Glam & Date Night Makeup,Portrait,Soft Glam Makeup You Can Preview First,https://aibeautystylist.com/looks/soft-glam,pin_soft_glam_01,Soft definition without heavy makeup,published
4,Wedding & Event Makeup,Decision card,Wedding Guest Makeup for Daylight and Flash,https://aibeautystylist.com/scenarios/wedding-guest,pin_wedding_guest_01,Polished in person and in photos,published
5,Hooded Eyes & Monolid Makeup,Diagram,Hooded Eyes: Put Shadow Where It Stays Visible,https://aibeautystylist.com/for/hooded-eyes,pin_hooded_01,Use open-eye placement,planned
6,Photo-Ready & Passport Makeup,Before/after,Passport Photo Makeup Without Flashback,https://aibeautystylist.com/scenarios/passport-photo,pin_passport_01,Control shine without flattening the face,planned
7,Clean Girl Dewy & Glass Skin,Portrait,Glass Skin Makeup Without Looking Greasy,https://aibeautystylist.com/looks/glass-skin,pin_glass_skin_01,Strategic glow instead of all-over shine,planned
8,Makeup for Skin Tone & Mature Skin,Comparison,Olive Skin: Rose or Peach Makeup?,https://aibeautystylist.com/for/olive-skin,pin_olive_01,Compare muted rose and peach directions,planned
9,AI Makeup Try-On Ideas,Explainer,AI Makeup Try-On vs Beauty Filter,https://aibeautystylist.com/blog/ai-tryon-vs-beauty-filters,pin_ai_filter_01,Understand what the result can and cannot prove,planned
10,Everyday & 5-Minute Makeup,Portrait,Work Makeup That Looks Awake Not Overdone,https://aibeautystylist.com/scenarios/office,pin_office_01,Clean brows eyes and lip-cheek color,planned
11,Soft Glam & Date Night Makeup,Portrait,Date Night Makeup That Still Looks Like You,https://aibeautystylist.com/scenarios/first-date,pin_first_date_01,Soft focus and approachable color,planned
12,Wedding & Event Makeup,Portrait,Summer Wedding Guest Makeup That Lasts,https://aibeautystylist.com/tryon?look=summer-wedding-guest,pin_summer_wedding_01,Lightweight event makeup for heat and photos,planned
13,Hooded Eyes & Monolid Makeup,Diagram,Monolid Makeup: Find the Visible Lid Zone,https://aibeautystylist.com/for/single-eyelids,pin_monolid_01,Place color with eyes open,planned
14,Photo-Ready & Passport Makeup,Comparison,Dewy or Satin Makeup for Flash Photos?,https://aibeautystylist.com/blog/makeup-for-camera-and-real-life,pin_camera_01,Separate camera reflection from real-life glow,planned
15,Clean Girl Dewy & Glass Skin,Portrait,Clean Girl Makeup You Can Try on Your Selfie,https://aibeautystylist.com/looks/clean-girl,pin_clean_girl_01,Minimal visible makeup with clear structure,planned
16,Makeup for Skin Tone & Mature Skin,Checklist,Mature Skin Makeup: Glow Without Heavy Powder,https://aibeautystylist.com/for/mature-skin,pin_mature_01,Thin layers and targeted radiance,planned
17,AI Makeup Try-On Ideas,Checklist,How to Take a Better Photo for AI Makeup Try-On,https://aibeautystylist.com/blog/ai-makeup-photo-guide,pin_ai_photo_01,Create a stable selfie for comparison,planned
18,Everyday & 5-Minute Makeup,Before/after,No-Makeup Makeup for Busy Mornings,https://aibeautystylist.com/looks/no-makeup-makeup,pin_no_makeup_01,Fresh color without visible heaviness,planned
19,Soft Glam & Date Night Makeup,Portrait,Rose Milk Makeup for a Soft Date Look,https://aibeautystylist.com/tryon?look=rose-milk-date,pin_rose_milk_01,Low-saturation rose for lips and cheeks,planned
20,Wedding & Event Makeup,Portrait,Prom Makeup That Works in Photos and Real Life,https://aibeautystylist.com/scenarios/prom,pin_prom_01,Visible definition without a mask-like finish,planned
21,Hooded Eyes & Monolid Makeup,Before/after,Try a Lifted Hooded-Eye Makeup Preview,https://aibeautystylist.com/tryon?look=hooded-eyes-lift,pin_hooded_tryon_01,Preview an outer-lift direction on your face,planned
22,Photo-Ready & Passport Makeup,Checklist,Flash-Proof Makeup: Check These Four Areas,https://aibeautystylist.com/tryon?look=flash-proof-satin,pin_flash_01,T-zone reflection lip color edges and dimension,planned
23,Clean Girl Dewy & Glass Skin,Comparison,Dewy Skin vs Soft Matte Makeup,https://aibeautystylist.com/looks/dewy-skin,pin_dewy_matte_01,Choose finish by lighting and wear time,planned
24,Makeup for Skin Tone & Mature Skin,Comparison,Warm Cool or Neutral Makeup Colors?,https://aibeautystylist.com/blog/how-to-determine-skin-undertone,pin_undertone_01,Use comparison instead of one unreliable test,planned
25,AI Makeup Try-On Ideas,Troubleshooting,Why Foundation Looks Cakey and What to Change First,https://aibeautystylist.com/blog/foundation-caking-troubleshooting,pin_caking_01,Diagnose by timing and location,planned
26,Everyday & 5-Minute Makeup,Portrait,Interview Makeup That Keeps Focus on Your Expression,https://aibeautystylist.com/scenarios/interview,pin_interview_01,Professional definition without heavy color,planned
27,Soft Glam & Date Night Makeup,Comparison,Which Lipstick Color Actually Suits the Whole Face?,https://aibeautystylist.com/blog/lipstick-color-comparison,pin_lipstick_01,Compare lips with blush clothing and light,planned
28,Wedding & Event Makeup,Checklist,Wedding Guest Makeup Planning Checklist,https://aibeautystylist.com/blog/wedding-guest-makeup-plan,pin_wedding_plan_01,Plan around light outfit wear time and repairs,planned
29,Photo-Ready & Passport Makeup,Portrait,Camera-Ready Makeup Without Making Everything Heavier,https://aibeautystylist.com/tryon?look=creator-camera-glow,pin_creator_glow_01,Control reflection and retain real skin texture,planned
30,Makeup for Skin Tone & Mature Skin,Portrait,Makeup for Deep Skin Without Ashy Color,https://aibeautystylist.com/for/dark-skin,pin_dark_skin_01,Protect depth warmth and visible contrast,planned
